NAME YEAR DOY YYYY-MM-DD TYPE
BARH 2007 086 2007-03-27 RSFYAsDa
BARH 2011 213 2011-08-01 SFI
BARH 2011 256 2011-09-13 SI
BARH 2019 039 2019-02-08 RSFIAsi
BDOS 2010 279 2010-10-06 RSFCY
BHR1 2002 074 2002-03-15 S
BISK 2012 312 2012-11-07 RSF
BJCO 2009 085 2009-03-26 D
BJCO 2021 313 2021-11-09 SFI
BJFS 2010 133 2010-05-13 RSFCYAsD
BJFS 2015 330 2015-11-26 RSFCAs
BJFS 2016 086 2016-03-26 RSF
BJFS 2016 307 2016-11-02 RSF
BJFS 2024 180 2024-06-28 SF
BNDY 2008 011 2008-01-11 SF
BNDY 2008 047 2008-02-16 SF
BNDY 2017 065 2017-03-06 RSFY
BNDY 2020 317 2020-11-12 RSFI
BOAV 2018 206 2018-07-25 RSFYAs
BOGO 1999 337 1999-12-03 S
BOGO 2004 204 2004-07-22 SFC
BOGO 2006 090 2006-03-31 SF
BOGO 2007 011 2007-01-11 RSFCY
BOGO 2018 023 2018-01-23 RSF
BOGO 2025 076 2025-03-17 RSFY
BOGT 1996 122 1996-05-01 SF
BOGT 1997 213 1997-08-01 S
BOGT 2000 272 2000-09-28 RSF
BOGT 2003 174 2003-06-23 s
BOGT 2005 187 2005-07-06 RSFAsi
BOGT 2007 214 2007-08-02 s
BOGT 2007 347 2007-12-13 SFIAs
BOGT 2008 158 2008-06-06 As
BOGT 2009 252 2009-09-09 Asi
BOGT 2010 222 2010-08-10 RSFCI
BOGT 2010 236 2010-08-24 RSFCI
BOGT 2015 231 2015-08-19 RSFCYAsi
BOR1 1999 151 1999-05-31 si
BOR1 1999 234 1999-08-22 SFCI
BOR1 2007 188 2007-07-07 RSFI
BOR1 2016 279 2016-10-05 RSFCYAsi
BRAZ 1996 242 1996-08-29 SFs
BRAZ 1998 118 1998-04-28 RSFsu
BRAZ 2007 071 2007-03-12 RSFCAsa
BRAZ 2012 262 2012-09-18 RSFYAsa
BRAZ 2012 332 2012-11-27 RSFYAsa
BRAZ 2013 115 2013-04-25 RSFYAsal
BRAZ 2014 260 2014-09-17 S
BRAZ 2014 296 2014-10-23 s
BRAZ 2014 357 2014-12-23 RSFY
BRAZ 2015 021 2015-01-21 RSFY
BRAZ 2015 057 2015-02-26 RSFY
BRAZ 2015 105 2015-04-15 RSFYAsa
BRAZ 2016 034 2016-02-03 RSFY
BRAZ 2016 270 2016-09-26 RSFY
BRAZ 2016 272 2016-09-28 As
BRAZ 2024 116 2024-04-25 RSFYAs
BREW 2005 027 2005-01-27 SF
BREW 2007 331 2007-11-27 SF
BREW 2018 158 2018-06-07 RSFCY
BREW 2018 227 2018-08-15 DD
BREW 2018 228 2018-08-16 DD
BRFT 2023 037 2023-02-06 RSFY
