NAME YEAR DOY YYYY-MM-DD TYPE
BRMU 2010 217 2010-08-05 RSFCYI
BRMU 2011 271 2011-09-28 AsDl
BRST 2006 206 2006-07-25 Asau
BRST 2006 207 2006-07-26 RSF
BRST 2007 109 2007-04-19 RSFAsau
BRST 2008 163 2008-06-11 RSFCYAs
BRST 2011 299 2011-10-26 RSFAsa
BRST 2018 169 2018-06-18 RSF
BRST 2018 332 2018-11-28 RSF
BRUS 1997 014 1997-01-14 RSF
BRUS 1999 088 1999-03-29 RSF
BRUS 1999 263 1999-09-20 RSFI
BRUS 2000 027 2000-01-27 RSFI
BRUS 2000 087 2000-03-27 RSF
BRUS 2000 118 2000-04-27 Asi
BRUS 2001 079 2001-03-20 RSFI
BRUX 2008 045 2008-02-14 RSFI
BRUX 2008 079 2008-03-19 As
BRUX 2008 266 2008-09-22 Asa
BRUX 2008 276 2008-10-02 AD
BRUX 2008 294 2008-10-20 AsDai
BRUX 2010 179 2010-06-28 RSFY
BRUX 2011 066 2011-03-07 Asui
BRUX 2012 031 2012-01-31 RSFYI
BRUX 2020 056 2020-02-25 RSFY
BRUX 2021 110 2021-04-20 ADi
BSHM 2014 164 2014-06-13 RSF
BSHM 2017 193 2017-07-12 RSFI
BSHM 2021 236 2021-08-24 RSF
CAGL 2001 192 2001-07-11 RSFCIAsi
CAGL 2004 061 2004-03-01 RSFI
CAGS 2011 192 2011-07-11 SAs
CAGS 2011 229 2011-08-17 RSFY
CAGS 2012 233 2012-08-20 Asi
CAGZ 2003 223 2003-08-11 RSF
CAGZ 2004 129 2004-05-08 RSF
CAGZ 2004 208 2004-07-26 RSF
CAGZ 2007 311 2007-11-07 RSF
CARR 1999 189 1999-07-08 RSFC
CAS1 2000 036 2000-02-05 RSF
CAS1 2004 298 2004-10-24 RSF
CAS1 2008 337 2008-12-02 RSFY
CAS1 2013 344 2013-12-10 RSFYIAsDui
CAS1 2020 143 2020-05-22 RSFI
CAS1 2021 188 2021-07-07 RSFC
CCJ2 2009 052 2009-02-21 ADi
