name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
BAN2 2008-02-28 2013-01-14    0.99245534    0.02858164 1513
BARH 1998-10-03 2007-05-08    0.47918334    0.00972894 2560
BARH 2007-05-19 2025-12-30    0.22593991    0.00638833 6025
BDOS 2004-06-12 2009-03-25   -0.43046568    0.03517187 1039
BDOS 2009-03-26 2013-12-09   -0.14572649    0.03266352 1225
BHR1 1996-06-24 2002-08-18    2.78928193    0.02543786 1414
BHR1 2002-08-20 2003-06-05    4.92580224    0.07400530  155
BHR1 2003-06-06 2008-07-26    3.39023870    0.03003995 1035
BILI 1999-09-05 2001-12-14    0.02682428    0.00922195  689
BILI 2001-12-15 2008-11-17    0.12674509    0.00507614 2121
BISK 2014-01-02 2015-02-08    0.24907506    0.02317030  356
BISK 2015-02-11 2018-02-28    0.38026276    0.01574330  783
BISK 2018-03-01 2020-12-26    0.66032426    0.01604267  785
BJCO 2009-04-03 2022-06-25    0.95528430    0.02349080 2904
BJFS 1999-10-22 2007-12-27    0.85465540    0.00889051 2624
BJFS 2007-12-28 2025-12-30    0.20941113    0.00601080 5709
BJNM 2014-01-02 2014-12-30    0.63561630    0.02600899  299
BJNM 2015-01-02 2015-12-02    0.40284986    0.03490493  217
BJNM 2015-12-03 2018-03-11    0.62184012    0.01578886  549
BJNM 2018-03-12 2020-07-04    0.70873120    0.02045347  400
BNDY 2008-01-05 2009-02-13   -0.02984072    0.05529552  324
BNDY 2009-02-14 2009-11-06   -0.24930424    0.05972187  230
BNDY 2009-11-07 2022-09-10   -0.06746157    0.01636657 3527
BNDY 2022-09-11 2025-12-30    0.08947531    0.02859679 1161
BOAV 2014-01-02 2022-11-09    0.38355722    0.02334401 1887
BOAV 2022-11-10 2024-03-29   -0.95009209    0.04832995  405
BOAV 2024-03-30 2025-12-30   -0.31300297    0.04321699  521
BOGO 2014-01-02 2014-05-11    0.23266016    0.02933460  130
BOGO 2014-05-12 2014-09-16   -0.32133082    0.05188886  127
BOGO 2014-09-17 2016-12-11    0.12701383    0.01420694  804
BOGO 2016-12-12 2020-12-23    0.48548607    0.01157134 1244
BOGO 2020-12-24 2024-02-24    0.36014924    0.01171896 1120
BOGO 2024-02-25 2025-12-30    0.51945468    0.01641668  635
BOGT 1994-11-05 1998-06-14    0.39108242    0.04263322  309
BOGT 1998-06-15 2019-04-12   -0.63837272    0.01018612 5534
BOGT 2019-04-13 2019-09-27    0.07661371    0.05424954  166
BOGT 2019-09-28 2025-12-30   -0.74297305    0.01607928 2226
BOR1 1994-09-29 1999-03-31    0.59478707    0.01118458 1596
BOR1 1999-04-01 2009-02-10    0.33491897    0.00786841 3397
BOR1 2009-02-11 2016-07-22    0.12163258    0.00886108 2622
BOR1 2016-07-23 2023-03-21    0.42415508    0.00935031 2327
BOR1 2023-03-22 2025-12-30    0.63000658    0.01488501  989
BRAZ 1995-04-21 1999-11-23    0.48176525    0.03063340  687
BRAZ 1999-11-24 2009-11-26   -0.47186163    0.01474277 3158
BRAZ 2009-11-27 2017-09-27   -0.12998472    0.01652189 2401
BRAZ 2017-09-28 2025-12-30   -0.60764216    0.01580263 2789
BREW 2001-11-17 2002-03-26    0.03382487    0.03607114  129
BREW 2002-03-27 2002-09-26    0.53014442    0.05393594  173
BREW 2002-09-27 2004-12-05    0.12937589    0.01881996  786
BREW 2004-12-06 2010-05-04   -0.11653970    0.01202666 1893
BREW 2010-05-05 2010-10-21   -0.75142136    0.06072930  150
BREW 2010-10-22 2025-12-30   -0.06639491    0.01118634 2163
BRFT 2005-09-18 2007-01-23   -1.20875175    0.05137220  481
BRFT 2007-01-24 2020-06-27   -0.20626553    0.02028741 3204
BRFT 2020-06-28 2025-08-25   -0.90666170    0.03275718 1247
BRMU 1994-01-06 2010-04-20   -0.38201607    0.01199852 5330
BRMU 2010-04-21 2020-09-13    0.07935333    0.01490466 3479
BRST 2014-01-02 2016-10-02   -0.26294482    0.01727224  976
BRST 2016-10-03 2025-12-30    0.31152226    0.00946307 3271
BRUS 1994-04-27 1997-05-14    0.18456847    0.01561823 1076
BRUS 1997-05-15 1998-12-01    0.46676107    0.02356187  548
BRUS 1998-12-02 2004-01-04    0.25295524    0.01236042 1730
BRUS 2004-01-05 2004-11-19    0.00947913    0.02958487  319
BRUS 2004-11-20 2012-02-13    0.38992559    0.01005100 2570
BRUX 2012-02-11 2016-11-23    0.41827927    0.01299665 1657
BRUX 2016-11-24 2022-11-03    0.60433294    0.01151490 2028
BRUX 2022-11-04 2025-12-30    0.40056390    0.01558510 1117
BSHM 2000-11-20 2017-01-17   -0.12996907    0.01170408 3394
BSHM 2017-01-18 2025-12-30    0.14209543    0.01442106 2311
BUE2 2005-10-21 2010-08-19    0.24515185    0.02067402 1625
CAGL 1996-03-05 2001-12-23   -0.61701840    0.01592139 1909
CAGL 2001-12-24 2013-09-19   -0.05002617    0.01094886 3967
CAGS 2014-01-02 2017-01-24   -0.19975159    0.01299772  998
CAGS 2017-01-25 2019-03-22   -0.44037973    0.01502438  717
CAGS 2019-03-23 2024-11-22   -0.16030225    0.01035359 1796
CAGS 2024-11-23 2025-12-30   -0.44686707    0.02293617  306
CAGZ 2002-06-05 2007-02-21    0.83801330    0.01787725 1431
CAGZ 2007-02-22 2010-12-29    1.03693255    0.01951951 1226
CAGZ 2010-12-30 2013-09-14    0.80408088    0.02228130  913
CALL 2009-07-08 2010-12-12   -1.09806649    0.07983619  431
CALL 2010-12-13 2018-04-26    0.23768353    0.03329373 2247
CARR 1994-06-09 2003-04-22   -0.29768072    0.01469002 2756
CAS1 1994-07-23 1997-04-20   -0.01523797    0.01083400  551
CAS1 1997-04-21 2000-02-10   -0.29675025    0.01177340  488
CAS1 2000-02-11 2005-04-04    0.15405843    0.00594944 1833
CAS1 2005-04-05 2005-08-29    0.69960820    0.02083620  143
CAS1 2005-08-30 2010-12-29    0.26041151    0.00587366 1862
CAS1 2010-12-30 2016-02-08   -0.04533982    0.00599861 1805
CAS1 2016-02-09 2025-12-29    0.12271541    0.00434732 3413
CCJ2 2014-01-02 2021-04-09   -0.10218533    0.01686428 2470
CCJ2 2021-04-10 2023-06-21   -0.39645928    0.03112673  773
CCJ2 2023-06-22 2024-06-19    0.21746314    0.04534103  353
CCJ2 2024-06-20 2025-12-30   -0.12386067    0.04023237  468
CCJM 2001-02-28 2011-03-07    0.19699305    0.01571867 3530
CEDU 1994-05-17 2016-04-23   -0.57234171    0.00825975 6101
CEDU 2016-04-24 2020-04-08   -0.30442949    0.01740004 1346
CEDU 2020-04-09 2025-12-30   -0.62094748    0.01447431 1939
CFAG 1995-11-13 2007-07-03    1.67947373    0.01830431 2652
CFAG 2007-07-04 2010-12-13    1.07315703    0.02673998 1206
CGGN 2011-09-16 2012-11-06    0.85403430    0.08164614  124
CGGN 2012-11-07 2016-07-11    1.01912958    0.04873898  361
CHAN 2004-12-12 2007-09-02    0.30936884    0.00972917  848
CHAN 2007-09-03 2025-12-30    0.02551008    0.00690776 1835
CHAT 1995-10-07 1996-10-02   -0.13840817    0.03649276  282
CHAT 1996-10-03 2001-11-26   -0.49410653    0.01499513 1660
CHAT 2001-11-29 2003-01-05   -0.08464973    0.03184749  371
CHAT 2003-01-06 2012-03-05    0.22113348    0.01082000 3229
CHPG 2017-01-30 2023-03-18   -0.51596844    0.02283518 2179
CHPG 2023-03-19 2025-12-30   -0.86739352    0.03319972 1001
CHPI 2003-05-11 2016-09-25    0.03799907    0.01675898 4073
CHPI 2016-09-26 2025-12-30   -0.28540987    0.02233984 2357
CHTI 2007-12-12 2011-08-25    0.04629403    0.01521794 1262
CHTI 2011-08-26 2016-05-24   -0.10976393    0.01338074 1645
CHTI 2016-05-25 2023-01-14    0.07246510    0.01120780 2295
CHTI 2023-01-15 2025-12-30   -0.24418614    0.01660458 1057
CHUM 1997-10-14 1998-11-11    0.94456354    0.05677404  203
CHUM 1998-11-13 1999-06-06    0.08408425    0.04823642  192
CHUM 1999-06-07 2003-05-26   -0.10557621    0.02414941  881
CHUM 2003-05-27 2008-11-20    0.35328260    0.01954776 1661
CHUM 2008-11-21 2025-12-30    0.04987457    0.01906515 1599
CHUR 1994-04-15 2004-01-26    0.18296416    0.00488642 3133
CHUR 2004-01-27 2004-06-03   -0.12182478    0.02080988  129
CHUR 2004-06-04 2013-02-06    0.36106548    0.00527820 2761
CHUR 2013-02-07 2016-12-11    0.20611653    0.00775861 1261
CHUR 2016-12-12 2023-04-02    0.07747822    0.00571611 2082
CHUR 2023-04-03 2025-12-30    0.30170135    0.01039596  798
CIC1 1999-03-28 1999-10-24    0.35635774    0.06434352  192
CIC1 1999-10-25 2002-05-17   -0.02891549    0.02741360  691
CIC1 2002-05-18 2004-03-31    0.47313117    0.03233105  539
CIC1 2004-04-01 2004-10-26   -0.25712170    0.06834444  177
CIC1 2004-10-27 2009-12-13    0.41889303    0.02122170 1255
CICE 1995-03-29 1999-02-07    0.16630213    0.02229630 1203
CKIS 2017-01-30 2020-12-21   -0.22937824    0.03826655  858
CKIS 2021-01-08 2025-12-30   -0.63571198    0.02900422 1543
CNMR 2003-08-08 2008-02-29   -0.71385639    0.03777011 1216
CNMR 2008-03-01 2010-11-01   -1.52604822    0.04363111  914
CNMR 2010-11-02 2016-05-19   -0.96209595    0.03089695 1829
CNMR 2016-05-20 2016-10-14    0.08197647    0.11185295  132
CNMR 2016-10-15 2023-08-17   -0.77244232    0.03081712 1826
COCO 1996-06-16 1999-06-30   -0.61117394    0.04077762  629
COCO 1999-07-01 2000-08-23   -0.09062733    0.07392867  225
COCO 2000-08-24 2003-01-26   -1.16839013    0.03504385  807
COCO 2003-01-27 2007-02-25   -0.67150455    0.02698247 1435
COCO 2007-02-26 2011-06-27   -0.34058589    0.02699689 1447
COCO 2011-06-28 2015-11-24   -0.85691130    0.02564315 1549
COCO 2015-11-25 2021-11-26   -0.18446134    0.02591805 1522
COCO 2021-11-27 2025-12-30   -0.78797605    0.02662995 1458
CONZ 2002-05-16 2007-11-22   -0.40383328    0.01655965 1868
CONZ 2007-11-23 2011-09-16   -0.49562905    0.02044821 1206
CONZ 2011-09-17 2015-04-05   -0.16773974    0.02047477 1265
CORD 1999-08-04 2005-08-28    1.86508135    0.02617211 1095
CORD 2005-08-29 2020-04-06    1.15781173    0.01873237 2273
CORD 2020-04-07 2025-12-30    0.76704008    0.01932526 2043
COYQ 1999-01-17 2018-10-31    0.63235916    0.00902044 3418
CPVG 2017-03-04 2021-09-12   -0.17572494    0.01829552 1377
CPVG 2021-09-13 2025-12-30   -0.87633524    0.01788781 1478
CPXF 2007-07-25 2017-02-28    0.24612434    0.00831099 3274
CPXF 2017-03-01 2021-02-24    0.51494239    0.01428706 1146
CPXF 2021-04-11 2025-12-30   -0.07120524    0.01453088 1073
CRAO 2000-04-28 2006-08-31   -0.46196283    0.01565304 2037
CRAO 2006-09-01 2013-12-30   -0.23197019    0.01449720 2264
CRAR 1999-01-03 2012-08-10    0.22090844    0.00266747 4292
CRAR 2012-08-11 2023-09-04   -0.40541624    0.00398880 1826
CRO1 1995-10-14 2005-11-26    0.37366980    0.02330247 3102
CRO1 2005-11-27 2015-11-30   -0.06698972    0.02193716 3483
CRO1 2015-12-01 2024-04-10   -0.53245154    0.02486161 2702
CRO1 2024-04-11 2025-12-30   -1.22869432    0.05253640  622
CTWN 2008-07-03 2010-12-08   -0.80289619    0.02425612  779
CTWN 2010-12-09 2011-11-18   -0.22709156    0.03769845  325
CTWN 2011-11-19 2012-10-19    1.51940844    0.03867081  307
CTWN 2012-10-20 2013-08-26   -0.51728939    0.04623893  207
DAEJ 1999-03-20 2005-03-08    0.43322455    0.01129983 1872
DAEJ 2005-03-09 2014-05-10    0.05134978    0.00881242 3082
DAEJ 2014-05-13 2017-07-13   -0.18906505    0.01548257 1038
DAEJ 2017-07-14 2025-12-30    0.08310441    0.00915157 2881
DAKA 2002-03-23 2004-02-25    0.21782614    0.04458087  429
DAKA 2004-02-26 2006-03-26   -0.15802544    0.04764534  302
DAKA 2006-03-27 2007-06-07    0.44890853    0.06416690  180
DARW 1995-05-28 2002-03-10   -0.76792695    0.03121996 1147
DARW 2002-03-11 2005-07-17   -0.86906541    0.03329998 1053
DARW 2005-07-18 2017-06-27   -0.44999694    0.01725301 3971
DARW 2017-06-28 2020-12-01    0.21616857    0.03160801 1179
DARW 2020-12-02 2025-12-30   -0.28892811    0.02566801 1816
DAV1 1994-07-29 1998-02-13   -0.21786926    0.00839476  523
DAV1 1998-02-15 1999-08-16   -0.93776626    0.00920463  433
DAV1 1999-09-20 2025-12-30    0.08361482    0.00202430 8998
DAVR 1999-11-03 2000-08-09   -0.06573166    0.01391751  200
DAVR 2000-08-10 2003-08-10    0.15241116    0.00631626  875
DAVR 2003-08-13 2005-03-08   -0.02915727    0.00854145  508
DAVR 2005-04-10 2008-12-30    0.02027285    0.00967342  404
DGAR 1996-05-12 2005-10-05   -0.67697090    0.03365825 1517
DGAR 2005-10-06 2020-04-08   -0.27032910    0.01930326 4659
DGAR 2020-04-09 2025-12-30   -0.74074555    0.02908382 2055
DGAV 2009-09-24 2017-01-29   -0.38071745    0.02548473 2316
DRAG 2000-02-08 2000-10-13    2.42263259    0.06086205  205
DRAG 2000-10-15 2006-12-17    1.85446538    0.01991815 1686
DRAG 2006-12-18 2008-12-05    2.49230209    0.03207774  667
DRAG 2008-12-07 2013-12-26    2.03507823    0.02074690 1614
DRAO 1994-01-06 2025-12-30    0.22613870    0.00463779 11047
DUBO 1996-10-22 1999-08-15    0.85799255    0.01147973  943
DUBO 1999-10-05 2012-03-25    0.33915860    0.00554482 4142
DUBO 2012-03-26 2025-12-30   -0.12427261    0.00537568 4622
DUM1 1998-01-04 2000-02-23    0.22406928    0.01034506  656
DUM1 2000-02-24 2010-08-06    0.52133615    0.00441841 3570
DUM1 2010-08-07 2012-06-02    0.29193984    0.01047635  646
DUM1 2012-06-03 2013-12-30   -0.04095677    0.01089172  565
EIL1 1999-03-06 2000-06-16    0.30725368    0.01553314  449
EIL1 2000-06-17 2004-11-13   -0.01837890    0.00889392 1445
EIL1 2004-11-14 2007-01-05    0.20877758    0.01211918  720
EIL1 2007-01-06 2010-07-19    0.13309537    0.00947717 1221
EISL 1994-05-04 2002-12-23   -0.99036023    0.02703414 1447
EISL 2002-12-24 2004-12-12   -0.65887940    0.04743716  442
EPRT 1998-10-03 2001-11-06    0.64704837    0.01580393  970
EPRT 2001-11-07 2019-03-21    0.28099367    0.00875596 3187
ETAD 2007-11-27 2010-01-12   -0.03763618    0.03762439  434
ETAD 2010-01-13 2013-10-02    0.23829320    0.03568941  486
FAA1 2006-10-18 2017-12-26    0.93046704    0.02399301 2638
FAA1 2017-12-27 2021-07-21    2.22076555    0.03516630 1229
FAA1 2021-07-22 2025-12-30    1.63889960    0.03147403 1525
FAIR 1994-01-06 1996-04-23    1.22031406    0.01262658  584
FAIR 1996-04-24 2017-10-18    0.57594953    0.00365002 7337
FAIR 2017-10-19 2021-12-24    1.23308302    0.00800038 1494
FAIR 2021-12-25 2023-01-14    0.95019415    0.01687026  347
FAIR 2023-01-15 2025-12-30    1.10772383    0.01003964  987
FAIV 2009-12-13 2017-10-05    0.04888447    0.00540855 2672
FALE 1996-11-15 2001-08-06   -0.21107719    0.04014463 1384
FALE 2001-08-07 2008-11-03    0.48716271    0.03311645 2029
FALE 2008-11-04 2017-12-27    0.13006678    0.03224264 2201
FLIN 1996-06-06 1999-09-26    0.99255002    0.01040673 1081
FLIN 1999-09-27 2011-02-25    0.54233420    0.00543930 3698
FLIN 2011-02-26 2025-12-30   -0.07714060    0.00483475 4869
FLRS 2008-07-15 2017-08-14   -0.02014845    0.01509400 2977
FLRS 2017-08-15 2020-06-30    0.22750294    0.02635836  969
FLRS 2020-07-01 2025-12-30   -0.19925009    0.01922477 1854
FORT 1994-01-12 1997-10-03   -0.74535398    0.05819598  720
FORT 1997-10-04 2006-04-08   -2.70018706    0.03847771 1668
FRDN 2014-01-02 2016-01-21    0.11265898    0.01675912  697
FRDN 2016-01-22 2023-01-16    0.25620765    0.00911811 2378
FRDN 2023-01-17 2025-12-30    0.15153416    0.01414803  985
FTNA 2017-01-30 2019-02-10   -0.37474997    0.05796715  627
FTNA 2019-02-11 2021-03-13   -0.89110207    0.05521226  679
FTNA 2021-03-14 2022-10-25   -1.42519210    0.07366182  387
FTNA 2022-10-26 2023-08-13   -0.65941406    0.09206431  266
FUNC 2014-01-02 2017-06-14    0.43091852    0.02264795 1179
FUNC 2017-06-15 2020-12-02    0.68777389    0.02274677 1209
FUNC 2020-12-03 2025-12-30    0.57890889    0.01906853 1694
GALA 1996-02-04 1997-12-18    0.50748133    0.05616946  409
GALA 1997-12-19 2002-11-08    0.74592790    0.03445067 1074
GANP 2003-10-14 2008-03-21    0.47359296    0.00989266 1558
GANP 2008-03-22 2016-12-04    0.14974205    0.00728517 3066
GANP 2016-12-05 2025-12-30    0.78103922    0.00704531 3207
GLPS 2003-01-08 2020-02-29    0.03075616    0.01365918 4784
GLPS 2020-03-01 2023-05-26   -0.67826991    0.02966631 1034
GLPS 2023-05-27 2025-12-30   -1.38410829    0.03160686  880
GLSV 1998-03-22 2001-06-15    0.56773049    0.01379449 1093
GLSV 2001-06-16 2008-02-20    0.52208356    0.00951726 2249
GLSV 2008-02-21 2009-12-02    0.10641080    0.01913821  615
GLSV 2009-12-03 2018-08-05    0.31386130    0.00816711 3004
GLSV 2018-08-06 2020-12-21    0.52689942    0.01579638  840
GLSV 2020-12-22 2025-12-29    0.28870156    0.01371723 1148
GMAS 2003-04-13 2011-04-16   -0.61494847    0.02951451  866
GMAS 2011-04-18 2013-03-31   -0.26735466    0.03357406  679
GMSD 2003-12-21 2019-11-22    0.01307486    0.01380544 4938
GMSD 2019-11-23 2025-12-30    0.37593611    0.03664568  640
GODE 1994-01-06 1999-03-02    0.91760196    0.01436516 1554
GODE 1999-03-03 2000-12-19    0.29741783    0.03516828  272
