name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ABMF 2014-01-02 2014-08-03   -0.46279112    0.06981145  195
ABMF 2014-08-04 2014-11-23   -1.03921914    0.10060487  112
ABMF 2014-11-24 2015-09-14   -0.38951249    0.06862770  218
ABMF 2015-09-15 2015-11-26   -1.01610065    0.12867635   72
ABMF 2015-11-27 2017-11-01   -0.32325972    0.05155932  368
ABMF 2017-11-03 2025-08-14    0.12725247    0.01948559 2680
ABMF 2025-08-15 2025-12-30    0.60409864    0.09361807  134
ABPO 2014-01-02 2014-09-22   -0.41501715    0.05911290  196
ABPO 2014-09-23 2015-01-27   -0.00922110    0.09842521  119
ABPO 2015-01-28 2015-04-29   -1.55584158    0.17125431   49
ABPO 2015-04-30 2015-07-11   -0.01950133    0.09524233   71
ABPO 2015-07-12 2018-09-21   -0.25401592    0.03825641  482
ABPO 2018-09-22 2020-04-06    0.10847533    0.04185222  542
ABPO 2020-04-07 2021-04-06   -0.22685508    0.04978365  326
ABPO 2021-04-07 2021-06-15    0.33535763    0.11148660   70
ABPO 2021-06-16 2023-12-27   -0.37836581    0.03323024  762
ABPO 2023-12-28 2024-08-17    0.41089012    0.06125330  231
ABPO 2024-08-18 2025-01-21   -0.23190281    0.08375421   92
ABPO 2025-01-22 2025-05-04    0.64776672    0.12075735  103
ADE1 1999-03-18 2000-05-01    0.24346491    0.03442835  344
ADE1 2000-05-02 2004-12-03    0.67584292    0.01584653 1564
ADE1 2004-12-04 2006-01-02    0.31020463    0.03281405  382
ADE1 2006-01-03 2010-09-14    0.51688401    0.01609154 1540
ADIS 2008-03-14 2010-01-11    0.13335110    0.04273473  356
ADIS 2010-01-23 2012-04-14    0.24554845    0.03218997  617
ADIS 2012-04-15 2013-01-25    0.55105591    0.05038570  255
ADIS 2013-01-26 2015-09-23    0.36965389    0.02979606  752
ADIS 2015-09-25 2016-01-21   -0.46610200    0.08123350   89
ADIS 2016-01-22 2016-10-12    0.17617723    0.05421038  232
ADIS 2016-10-13 2019-10-29    0.52573355    0.02970219  737
ADIS 2019-10-30 2023-12-06    0.24102712    0.02823752  804
ADIS 2024-01-03 2024-02-26   -0.20624457    0.11345020   42
ADIS 2024-02-27 2025-12-30    0.17541896    0.03218767  636
AIRA 2003-02-20 2008-09-11   -0.07012556    0.01685713 1948
AIRA 2008-09-12 2010-02-06   -0.36406763    0.03203179  464
AIRA 2010-02-07 2011-04-26   -0.68858799    0.03644046  407
AIRA 2011-04-27 2011-10-26   -1.66796950    0.07970397  167
AIRA 2011-10-27 2012-07-05   -0.57259652    0.04314179  232
AIRA 2012-07-06 2013-12-30   -1.29574394    0.03400961  493
AIRA 2023-01-08 2025-09-27   -0.26437860    0.02426972  950
AIRA 2025-09-28 2025-12-30    0.40371371    0.08533347   64
ALBH 1994-01-06 1994-04-10   -0.12524479    0.05461283   81
ALBH 1994-04-11 1995-06-28    0.38669047    0.03299587  352
ALBH 1995-06-29 1995-08-17   -0.31402622    0.12482108   49
ALBH 1995-08-18 1997-01-30    0.19228461    0.02597318  526
ALBH 1997-01-31 1997-11-07    0.03470695    0.03902759  258
ALBH 1997-11-08 1998-02-21    0.40798383    0.04978639  105
ALBH 1998-02-22 1998-06-22   -0.13497320    0.05029205  121
ALBH 1998-06-23 2000-06-29    0.25852877    0.02274031  657
ALBH 2000-06-30 2002-10-22    0.14249298    0.02179573  763
ALBH 2002-10-23 2004-05-29    0.22236006    0.02384352  557
ALBH 2004-05-30 2004-07-24   -0.37126588    0.09960723   56
ALBH 2004-07-25 2010-03-03    0.16516531    0.01326836 1984
ALBH 2010-03-04 2010-10-07   -0.14630831    0.04525513  210
ALBH 2010-10-08 2013-06-02    0.04504332    0.01871179  946
ALBH 2013-06-03 2013-09-08    0.66832288    0.08474581   93
ALBH 2013-09-09 2014-06-01   -0.01628542    0.03419749  254
ALBH 2014-06-02 2016-04-05    0.21520401    0.02330101  641
ALBH 2016-04-06 2025-12-30    0.66912427    0.01013310 3460
ALGO 1994-01-06 1994-03-01   -0.09185850    0.04444334   47
ALGO 1994-03-02 1994-08-25    0.56205768    0.04686610  146
ALGO 1994-08-26 1994-11-04   -0.15959776    0.07651135   66
ALGO 1994-11-05 1996-01-22    0.09004469    0.02438116  307
ALGO 1996-01-24 1997-01-24    0.02039240    0.02639663  307
ALGO 1997-01-25 1997-03-22   -0.49869603    0.04395574   55
ALGO 1997-03-23 1998-01-08    0.12430499    0.03123379  262
ALGO 1998-01-09 2000-08-31   -0.13046715    0.01596926  838
ALGO 2000-09-01 2002-04-21   -0.30625159    0.01745496  563
ALGO 2002-04-22 2006-11-30   -0.05158393    0.01170715 1529
ALGO 2006-12-01 2008-04-17    0.00226857    0.01869471  463
ALGO 2008-04-18 2024-01-23   -0.04643807    0.00619239 4991
ALGO 2024-01-24 2024-03-15    0.35092678    0.04458191   52
ALGO 2024-03-16 2025-12-30    0.00023821    0.01937642  554
ALIC 1995-02-21 1995-10-28   -0.16952498    0.07233588   51
ALIC 1995-10-29 1996-05-30    0.50162989    0.07053636   92
ALIC 1996-05-31 1996-10-08   -0.51268419    0.05134949   90
ALIC 1996-10-10 1998-02-28    0.13927606    0.03518890  319
ALIC 1998-03-01 1999-04-01   -1.09620340    0.04002349  266
ALIC 1999-04-02 2000-01-12   -1.41533373    0.03598335  241
ALIC 2000-01-13 2000-06-13   -0.39069241    0.05563636  145
ALIC 2000-06-14 2001-07-17   -0.61849101    0.03312765  333
ALIC 2001-07-18 2002-09-25   -0.71451343    0.02843430  406
ALIC 2002-09-26 2006-04-20   -0.42491232    0.01820914 1176
ALIC 2006-04-21 2010-10-22   -0.22870013    0.01500810 1547
ALIC 2010-10-23 2011-06-07   -1.43157764    0.05163906  204
ALIC 2011-06-08 2018-06-26   -0.34344967    0.01220218 2442
ALIC 2018-06-27 2021-09-12   -0.04390681    0.01809918 1043
ALIC 2021-09-13 2023-07-26   -0.61108929    0.02449070  651
ALIC 2023-07-27 2024-01-10   -0.19270612    0.04864375  160
ALIC 2024-01-11 2025-12-30   -0.77866608    0.02328627  663
ALRT 2002-11-20 2003-05-14    0.43272987    0.01184767  139
ALRT 2003-05-15 2003-07-14    0.79854583    0.03646982   56
ALRT 2003-07-16 2004-12-09    0.51513531    0.00787898  475
ALRT 2004-12-11 2005-03-13    0.33640287    0.01453623   90
ALRT 2005-03-14 2006-04-08    0.58599249    0.00849523  370
ALRT 2006-04-09 2007-01-31    0.48077427    0.01291196  235
ALRT 2007-02-01 2007-09-28    0.32167806    0.01220153  231
ALRT 2007-09-29 2007-11-25    0.50939075    0.02064197   58
ALRT 2007-11-26 2008-02-24    0.38278025    0.01471225   91
ALRT 2008-02-25 2008-05-07    0.52472060    0.01604163   72
ALRT 2008-05-08 2009-03-30    0.69943306    0.00960679  307
ALRT 2009-03-31 2010-11-18    0.52133839    0.00753554  547
ALRT 2010-11-19 2011-04-05    0.33942898    0.01284878  111
ALRT 2011-04-06 2014-01-24    0.43579378    0.00564758  910
ALRT 2014-01-25 2014-04-19    0.27041810    0.01515640   78
ALRT 2014-04-20 2014-11-19    0.39511768    0.01538507  195
ALRT 2014-11-20 2015-03-31    0.29145225    0.01208945  127
ALRT 2015-04-01 2015-10-07    0.47553184    0.01650490  169
ALRT 2015-10-08 2017-02-12    0.37645783    0.00737226  478
ALRT 2017-02-13 2017-08-11    0.59077608    0.01329630  175
ALRT 2017-08-12 2018-01-19    0.36104526    0.01324181  155
ALRT 2018-01-20 2019-02-17    0.57573592    0.00847975  383
ALRT 2019-02-18 2025-12-14    0.37126121    0.01813708   60
AMC2 1998-10-22 1999-03-08   -0.58992777    0.03926465   62
AMC2 1999-03-10 1999-11-16   -0.24020681    0.04805314  128
AMC2 1999-11-17 2000-10-12   -0.42751873    0.02269257  294
