name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ABMF 2014-01-02 2014-08-03   -0.46279112    0.06981145  195
ABMF 2014-08-04 2014-11-23   -1.03921914    0.10060487  112
ABMF 2014-11-24 2015-09-14   -0.38951249    0.06862770  218
ABMF 2015-09-15 2015-11-26   -1.01610065    0.12867635   72
ABMF 2015-11-27 2017-11-01   -0.32325972    0.05155932  368
ABMF 2017-11-03 2025-08-14    0.12725247    0.01948559 2680
ABMF 2025-08-15 2025-12-30    0.60409864    0.09361807  134
ABPO 2014-01-02 2014-09-22   -0.41520515    0.05910156  196
ABPO 2014-09-23 2015-07-11   -0.01455942    0.06843895  190
ABPO 2015-07-12 2018-09-21   -0.25446176    0.03821525  482
ABPO 2018-09-22 2020-04-06    0.10794428    0.04176932  542
ABPO 2020-04-07 2021-04-06   -0.22717755    0.04973687  326
ABPO 2021-04-07 2021-06-15    0.33683545    0.11095832   70
ABPO 2021-06-16 2023-12-27   -0.37861418    0.03317592  762
ABPO 2023-12-28 2024-08-17    0.40942530    0.06108062  231
ABPO 2024-08-18 2025-01-21   -0.23190281    0.08375421   92
ABPO 2025-01-22 2025-05-04    0.64237668    0.11943458  103
ADE1 1999-03-18 2000-05-01    0.24346491    0.03442835  344
ADE1 2000-05-02 2004-12-03    0.67584292    0.01584653 1564
ADE1 2004-12-04 2006-01-02    0.31020463    0.03281405  382
ADE1 2006-01-03 2010-09-14    0.51688401    0.01609154 1540
ADIS 2008-03-14 2010-01-11    0.13337107    0.04273086  356
ADIS 2010-01-23 2012-04-14    0.24554564    0.03218509  617
ADIS 2012-04-15 2013-01-25    0.55105342    0.05038444  255
ADIS 2013-01-26 2015-09-23    0.36964516    0.02979320  752
ADIS 2015-09-25 2016-01-21   -0.46611137    0.08122949   89
ADIS 2016-01-22 2016-10-12    0.17614538    0.05420231  232
ADIS 2016-10-13 2019-10-29    0.52574896    0.02969940  737
ADIS 2019-10-30 2025-12-30    0.21246961    0.02122517 1440
AIRA 2003-02-20 2008-09-11   -0.07012556    0.01685713 1948
AIRA 2008-09-12 2010-02-06   -0.36406763    0.03203179  464
AIRA 2010-02-07 2011-04-26   -0.68858799    0.03644046  407
AIRA 2011-04-27 2011-10-26   -1.66796950    0.07970397  167
AIRA 2011-10-27 2012-07-05   -0.57259652    0.04314179  232
AIRA 2012-07-06 2013-12-30   -1.29574394    0.03400961  493
AIRA 2023-01-08 2025-09-27   -0.26437860    0.02426972  950
AIRA 2025-09-28 2025-12-30    0.40371371    0.08533347   64
ALBH 1994-01-06 1994-04-10   -0.12524479    0.05461283   81
ALBH 1994-04-11 1995-06-28    0.38765837    0.03296529  352
ALBH 1995-06-29 1997-01-30    0.19241300    0.02596085  526
ALBH 1997-01-31 1997-11-07    0.03499088    0.03898741  258
ALBH 1997-11-08 1998-02-21    0.40798383    0.04978639  105
ALBH 1998-02-22 1998-06-22   -0.13486244    0.05027704  121
ALBH 1998-06-23 2000-06-29    0.25887152    0.02273179  657
ALBH 2000-06-30 2010-03-03    0.17100219    0.01023040 3304
ALBH 2010-03-04 2010-10-07   -0.14588546    0.04518718  210
ALBH 2010-10-08 2013-06-02    0.04536424    0.01870241  946
ALBH 2013-06-03 2013-09-08    0.67458930    0.08430360   93
ALBH 2013-09-09 2014-06-01   -0.01627589    0.03419725  254
ALBH 2014-06-02 2016-04-05    0.21588330    0.02328440  641
ALBH 2016-04-06 2025-12-30    0.66970405    0.01012547 3460
ALGO 1994-01-06 1994-08-25    0.56183489    0.04681896  146
ALGO 1994-08-26 1994-11-04   -0.15959776    0.07651135   66
ALGO 1994-11-05 1998-01-08    0.07443266    0.01553460  876
ALGO 1998-01-09 2000-08-31   -0.13046389    0.01596746  838
ALGO 2000-09-01 2002-04-21   -0.30599363    0.01745573  563
ALGO 2002-04-22 2006-11-30   -0.05130783    0.01170768 1529
ALGO 2006-12-01 2008-04-17    0.00232751    0.01869575  463
ALGO 2008-04-18 2025-12-30   -0.04195174    0.00589876 5545
ALIC 1995-02-21 1996-05-30    0.50181387    0.07045025   92
ALIC 1996-05-31 1996-10-08   -0.51198853    0.05129338   90
ALIC 1996-10-10 1998-02-28    0.13896409    0.03516086  319
ALIC 1998-03-01 1999-04-01   -1.09630365    0.04000784  266
ALIC 1999-04-02 2000-01-12   -1.41519737    0.03595905  241
ALIC 2000-01-13 2000-06-13   -0.39077158    0.05554628  145
ALIC 2000-06-14 2001-07-17   -0.61869472    0.03310480  333
ALIC 2001-07-18 2002-09-25   -0.71429646    0.02842673  406
ALIC 2002-09-26 2006-04-20   -0.42484719    0.01819747 1176
ALIC 2006-04-21 2010-10-22   -0.22879744    0.01499660 1547
ALIC 2010-10-23 2011-06-07   -1.43128246    0.05157669  204
ALIC 2011-06-08 2018-06-26   -0.34353120    0.01219363 2442
ALIC 2018-06-27 2021-09-12   -0.04399558    0.01808828 1043
ALIC 2021-09-13 2023-07-26   -0.61116280    0.02446597  651
ALIC 2023-07-27 2024-01-10   -0.19283410    0.04869119  160
ALIC 2024-01-11 2025-12-30   -0.77868343    0.02326976  663
ALRT 2002-11-20 2003-05-14    0.43171850    0.01151345  139
ALRT 2003-05-15 2004-12-09    0.51874623    0.00777775  475
ALRT 2004-12-11 2005-03-13    0.34479127    0.01393537   90
ALRT 2005-03-14 2006-04-08    0.58815884    0.00836702  370
ALRT 2006-04-09 2006-11-10    0.47653003    0.01651543  189
ALRT 2006-11-11 2008-02-24    0.35018462    0.00922619  322
ALRT 2008-02-25 2008-05-07    0.52470703    0.01603821   72
ALRT 2008-05-08 2009-03-30    0.69739106    0.00942339  307
ALRT 2009-03-31 2010-11-18    0.52347509    0.00745102  547
ALRT 2010-11-19 2011-04-05    0.34098906    0.01255501  111
ALRT 2011-04-06 2014-01-24    0.43941155    0.00554436  910
ALRT 2014-01-25 2014-04-19    0.27025826    0.01499534   78
ALRT 2014-04-20 2014-11-19    0.39494861    0.01538451  195
ALRT 2014-11-20 2015-03-31    0.28953164    0.01174305  127
ALRT 2015-04-01 2015-10-07    0.47513133    0.01651691  169
ALRT 2015-10-08 2017-02-12    0.37696732    0.00720852  478
ALRT 2017-02-13 2017-08-11    0.59063230    0.01330551  175
ALRT 2017-08-12 2018-01-19    0.36410654    0.01293693  155
ALRT 2018-01-20 2019-02-17    0.57973238    0.00830706  383
ALRT 2019-02-18 2025-12-14    0.37128457    0.01812725   60
AMC2 1998-10-22 1999-03-08   -0.58992673    0.03926343   62
AMC2 1999-03-10 1999-11-16   -0.23951928    0.04796367  128
AMC2 1999-11-17 2000-10-12   -0.42751783    0.02270028  294
AMC2 2000-10-14 2001-09-09   -0.70649925    0.02135330  308
AMC2 2001-09-10 2002-06-19   -0.82914543    0.02150391  267
AMC2 2002-06-20 2003-02-03   -0.31925031    0.02643257  207
AMC2 2003-02-04 2006-09-15   -0.44836618    0.01144296 1237
AMC2 2006-09-16 2006-11-28   -0.00778846    0.04683082   73
AMC2 2006-11-29 2007-11-08   -0.39862640    0.02221358  303
AMC2 2007-11-09 2010-02-17   -0.68366813    0.01474800  683
AMC2 2010-02-18 2010-12-12   -0.90425722    0.02793664  271
AMC2 2010-12-13 2012-11-08   -0.62848921    0.01545603  662
AMC2 2012-11-09 2015-07-10   -0.71887302    0.01276976  893
AMC2 2015-07-11 2016-12-25   -0.61898485    0.01797488  441
AMC2 2016-12-26 2017-04-15   -0.30346794    0.02851000  106
AMC2 2017-04-16 2018-04-03   -0.50470346    0.02166972  329
ANKR 1995-06-26 1997-11-30    0.53097447    0.01926671  668
ANKR 1997-12-01 1998-08-16    0.96820805    0.03396488  204
ANKR 1998-08-17 1999-07-12    0.46917151    0.03020555  201
ANKR 1999-07-13 1999-10-09    0.96685856    0.08022446   80
ANKR 1999-10-11 2002-08-22    0.10006797    0.01730593  763
