name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ANKR 1998-08-17 1999-07-12    0.46672914    0.03035877  201
ANKR 1999-07-13 2001-04-22    0.16299429    0.03269908  143
ANKR 2001-04-23 2002-08-22   -0.07633391    0.02666349  326
ANKR 2002-08-23 2002-12-28   -0.34705057    0.04372248  120
ANKR 2002-12-29 2003-12-12   -0.71264819    0.04496311  165
ANKR 2003-12-13 2006-10-27   -0.03993565    0.01919787  644
ANKR 2006-10-28 2007-11-25    0.25365498    0.03361890  198
ANKR 2007-11-26 2014-04-19   -0.23381344    0.01073175 2007
ANKR 2014-04-20 2017-09-17   -0.22522971    0.01513077 1074
ANKR 2017-09-18 2019-09-02   -0.69575283    0.01893655  645
ANKR 2019-09-04 2020-11-04   -1.18235972    0.02652913  379
ANKR 2020-11-05 2021-12-23   -0.75361916    0.02854491  220
ANTC 2002-07-02 2003-10-15    0.72025523    0.04983859  251
ANTC 2003-10-16 2004-05-04    0.14468542    0.07804873  147
ANTC 2004-05-05 2007-09-28    0.28264666    0.02384509 1060
ANTC 2007-09-29 2008-11-30    0.16456803    0.04519639  260
ANTC 2008-12-01 2009-04-27    0.53110226    0.08653499  133
ANTC 2009-04-28 2011-07-20    0.02725063    0.02857941  741
ANTC 2011-07-21 2012-07-29    0.12876819    0.04593681  318
ANTC 2012-07-30 2013-04-23   -0.08912777    0.05436828  237
ANTC 2013-04-24 2013-09-07   -0.42022311    0.06050423  121
ANTC 2013-09-08 2021-02-03    0.09027299    0.03154560  586
ANTC 2021-02-06 2021-07-11    0.58054685    0.06676246  141
ANTC 2021-07-12 2025-12-30    0.23897357    0.02431520 1063
AOML 1997-11-21 1998-06-04   -0.25251678    0.07948363  178
AOML 1998-06-05 2000-06-27   -0.89745301    0.04990929  527
AOML 2000-06-28 2004-04-03   -0.47806194    0.03308270 1288
AREG 2017-01-30 2018-04-04    1.56396524    0.06170419  206
AREG 2018-04-05 2018-10-03    1.10357922    0.05343619  149
AREG 2018-10-04 2019-11-15    1.27630739    0.03921404  386
AREG 2019-11-16 2022-02-04    0.74209018    0.03461358  407
AREG 2022-02-05 2023-02-20    0.75190914    0.04278542  299
AREG 2023-02-21 2025-12-30    0.96965369    0.02442240  922
AREQ 1994-04-18 1998-02-26    1.38102695    0.04174567  534
AREQ 1998-02-28 2001-08-09    0.99325011    0.02993560  914
AREQ 2001-08-10 2003-09-21    2.00759077    0.04784737  376
AREQ 2003-09-22 2004-07-28    1.15277095    0.07381276  142
AREQ 2004-07-29 2009-03-29    1.34686769    0.02396075 1525
AREQ 2009-03-30 2010-03-04    1.00664740    0.05226522  315
AREQ 2010-03-05 2010-11-25    0.79422162    0.05499447  250
AREQ 2010-11-26 2014-02-01    1.43219729    0.02792276 1133
AREQ 2014-02-02 2019-11-15    1.31580387    0.02119939 1854
AREQ 2019-11-16 2020-09-09    0.81071009    0.05609466  254
AREQ 2020-09-10 2021-04-22    2.18929302    0.07151889  222
AREQ 2021-04-23 2021-11-08    0.65858233    0.05884236  199
AREQ 2021-11-09 2022-04-20    2.45720917    0.08843467  159
AREQ 2022-04-21 2025-12-30    0.93306364    0.02594202 1255
AREV 2011-11-08 2013-04-25    1.54861700    0.05090964  312
AREV 2013-04-26 2013-12-22    1.18285868    0.07942749  137
AREV 2013-12-23 2015-01-04    1.78635690    0.08955907  135
AREV 2015-01-05 2017-09-11    1.27001997    0.03709437  570
ARTU 1999-08-09 2000-01-05    0.10652347    0.03083553  140
ARTU 2000-01-06 2002-04-13    0.29481985    0.01251337  752
ARTU 2002-04-14 2002-10-02    0.63036190    0.05120286  142
ARTU 2002-10-03 2003-12-11    0.22309808    0.01764161  407
ARTU 2003-12-12 2004-08-29    0.53526851    0.02231457  249
ARTU 2004-08-31 2005-01-07    0.06730299    0.03175392  121
ARTU 2005-01-08 2006-01-12    0.36726543    0.01908797  354
ARTU 2006-01-13 2008-11-03    0.49602118    0.01345589  824
ARTU 2008-11-04 2009-12-24    0.26377838    0.01751972  398
ARTU 2009-12-25 2010-12-04    0.44011326    0.02587467  263
ARTU 2010-12-05 2012-04-09    0.22654443    0.01784715  322
ARTU 2012-04-10 2013-01-27   -0.17808763    0.02464007  254
ARTU 2013-01-28 2017-01-04    0.02000042    0.01097047 1223
ARTU 2017-01-05 2019-01-11    0.11405874    0.01384709  672
ARTU 2019-01-12 2021-01-09    0.15758261    0.01469689  646
ARTU 2021-01-10 2022-04-27    0.08728244    0.02496288  258
ASC1 1996-05-02 1999-11-13   -0.53025685    0.03860185  537
ASC1 1999-11-14 2003-12-27   -0.57339850    0.03037648  879
ASC1 2003-12-28 2007-09-03   -0.47313278    0.05422694  319
ASCG 2017-01-30 2020-03-05   -0.95701896    0.02193217 1122
ASCG 2020-03-06 2023-05-14   -1.33301713    0.02277681 1058
ASCG 2023-05-15 2023-12-12   -0.90792021    0.04920524  212
ASCG 2023-12-13 2024-11-23   -1.05437634    0.04238891  310
ASCG 2024-11-24 2025-12-30   -1.23765290    0.03636223  401
ASPA 2001-08-13 2018-04-10   -0.45243472    0.01679464 5383
ASPA 2018-04-11 2018-10-12    0.06995076    0.09299988  182
ASPA 2018-10-13 2019-08-23   -0.76889282    0.07750155  257
ASPA 2019-08-24 2022-10-22   -1.18778390    0.04381413  793
ASPA 2022-10-23 2024-04-21    0.16231935    0.05272723  543
ASPA 2024-04-22 2024-08-31   -0.46376269    0.11235895  128
ASPA 2024-09-01 2025-12-30   -0.62775906    0.07625497  257
AUCK 1995-09-21 1997-12-16   -0.02923536    0.02450022  649
AUCK 1997-12-17 1998-09-28    0.14924594    0.04481630  162
AUCK 1998-09-29 2000-08-27   -0.22695390    0.02537889  612
AUCK 2000-08-28 2001-05-01   -0.55723322    0.04356696  236
AUCK 2001-05-02 2001-11-07   -0.21129539    0.04382306  164
AUCK 2001-11-08 2005-11-30    0.12683941    0.01664435 1426
AUCK 2005-12-01 2006-05-06   -0.48076615    0.06116032  145
