name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
EIL1 2007-01-06 2007-02-12  +0.1854  +0.1044  +0.0123  +0.0096   720  1221  +5.1807  2.210e-07     1
EISL 1994-05-04 1994-06-23       NA  -0.9921       NA  +0.0346    NA   958       NA         NA    NA
EISL 2000-03-16 2000-05-13  -0.9921  -1.1879  +0.0346  +0.0451   958   489  +3.4464  5.681e-04     1
ETAD 2010-01-13 2010-02-20  +0.0437  +0.2294  +0.0380  +0.0360   434   486  -3.5442  3.938e-04     1
FAIR 2021-12-25 2022-01-22  +1.2240  +0.9489  +0.0079  +0.0168  1494   347 +14.8179  1.122e-49     1
FAIR 2023-01-15 2023-03-07  +0.9489  +1.1012  +0.0168  +0.0100   347   987  -7.7989  6.244e-15     1
FALE 2003-02-16 2003-02-17  +0.4147  +0.5062  +0.0682  +0.0380   488  1541  -1.1728  2.409e-01     0
FRDN 2023-01-17 2023-01-18  +0.3420  +0.2365  +0.0091  +0.0141  2378   985  +6.2639  3.754e-10     1
FTNA 2021-09-18 2021-12-02  -1.5362  -1.3038  +0.1160  +0.0961   167   220  -1.5423  1.230e-01     0
FTNA 2022-10-26 2022-11-01  -1.3038  -0.7677  +0.0961  +0.0919   220   266  -4.0308  5.559e-05     1
FUNC 2020-12-03 2021-01-21  +0.7059  +0.5643  +0.0227  +0.0190  1209  1694  +4.7910  1.660e-06     1
GALA 1997-12-19 1998-05-21  +0.5545  +0.7749  +0.0586  +0.0355   409  1074  -3.2170  1.295e-03     1
GALA 2002-10-26 2002-11-08  +0.7749       NA  +0.0355       NA  1074    NA       NA         NA    NA
GLSV 2001-06-16 2001-08-09  +0.6054  +0.5597  +0.0138  +0.0095  1093  2249  +2.7263  6.406e-03     1
GMAS 2003-04-13 2008-02-19       NA  -0.7214       NA  +0.0294    NA   866       NA         NA    NA
GMSD 2007-07-06 2007-08-31  -0.1281  -0.0664  +0.0307  +0.0154   978  3960  -1.7950  7.265e-02     0
GOUG 2007-08-05 2007-10-09  -0.0283  +1.3306  +0.0177  +0.0636  2010   167 -20.5841  3.812e-94     1
GOUG 2008-06-14 2008-09-17  +1.3306       NA  +0.0636       NA   167    NA       NA         NA    NA
GUAT 2019-12-25 2019-12-28  -0.3601  -0.5329  +0.0131  +0.0304  5885  1060  +5.2116  1.872e-07     1
GUUG 2010-06-26 2010-09-27  -0.2075  -0.1460  +0.0231  +0.0221  2243  2418  -1.9257  5.414e-02     0
HLFX 2002-12-21 2003-01-12       NA  +0.0704       NA  +0.0071    NA  4963       NA         NA    NA
HNLC 2018-02-28 2018-03-12  -0.0212  +0.2113  +0.0173  +0.0367  4326   969  -5.7283  1.015e-08     1
HOB2 1999-09-02 1999-12-01  -0.2453  -0.1559  +0.0189  +0.0197   858   844  -3.2760  1.053e-03     1
HOLB 1994-01-06 1994-04-27       NA  +0.2072       NA  +0.0072    NA  4617       NA         NA    NA
HRM1 2004-08-01 2004-08-24  +0.3016  +0.4620  +0.0117  +0.0109  1896  2171 -10.0375  1.043e-23     1
ILHA 2009-05-06 2009-05-12  +0.6679  +0.5697  +0.0621  +0.0396   387   844  +1.3344  1.821e-01     0
IMPZ 2009-09-13 2009-11-26  -0.7033  -0.6289  +0.0395  +0.0306  1041  1845  -1.4870  1.370e-01     0
INVK 2015-11-27 2016-02-23  -0.0699  -0.4868  +0.0036  +0.0124  4200   317 +32.3882 4.018e-230     1
IRKT 2000-02-24 2000-04-29  +0.0199  +0.2262  +0.0088  +0.0203  1464   294  -9.3191  1.174e-20     1
ISBA 2009-01-02 2009-02-10       NA  -0.3430       NA  +0.0564    NA   208       NA         NA    NA
JAB1 2000-09-01 2000-09-10  -0.9401  -0.5700  +0.0548  +0.0305   498  1776  -5.9022  3.587e-09     1
JOZE 1994-12-26 1995-01-04  +0.7286  +0.1244  +0.0258  +0.0045   321 10411 +23.0732 8.598e-118     1
JPLV 2009-03-22 2009-04-05  +0.0438  +0.3123  +0.0320  +0.0231   400   864  -6.7990  1.053e-11     1
KAT1 2013-06-19 2013-06-20  -0.1732  -0.3684  +0.0476  +0.0254   572  1787  +3.6157  2.995e-04     1
KHAJ 2009-12-22 2010-01-24  +0.7996  +0.9852  +0.0052  +0.0099  2612   696 -16.5971  7.311e-62     1
KHAR 2005-11-06 2005-11-08  +0.6219  +0.6242  +0.0187  +0.0127   612  1145  -0.1017  9.190e-01     0
KIR0 2016-01-26 2016-03-08  +0.1778  +0.3073  +0.0038  +0.0125  5841   595  -9.9309  3.055e-23     1
KIR0 2017-12-07 2018-02-07  +0.3073  +0.3937  +0.0125  +0.0144   595   384  -4.5336  5.798e-06     1
KIRU 2005-01-05 2005-02-24  +0.6965  +0.9013  +0.0053  +0.0061  3597  2729 -25.3166 2.098e-141     1
KOSG 2013-04-27 2013-10-06  +0.5144  +0.2491  +0.0268  +0.0288   346   230  +6.7471  1.508e-11     1
KOU1 2005-01-14 2005-01-27  +0.4602  -0.0653  +0.0541  +0.0824   564   215  +5.3298  9.834e-08     1
KOU1 2005-09-28 2005-09-30  -0.0653  +0.2729  +0.0824  +0.0709   215   321  -3.1100  1.871e-03     1
KOUG 2023-08-28 2023-11-16  +1.4169  +0.9515  +0.0242  +0.0682  1949   244  +6.4335  1.247e-10     1
KWJ1 1996-03-18 1996-09-12       NA  -0.0621       NA  +0.0485    NA   653       NA         NA    NA
LAE1 2023-10-07 2023-10-08  +0.3823       NA  +0.0761       NA   618    NA       NA         NA    NA
LAUT 2019-12-04 2019-12-06  +0.1977  -0.2437  +0.0439  +0.0297   987  2171  +8.3195  8.831e-17     1
LHAS 1996-11-06 1996-12-03  +0.7463  +1.0307  +0.0379  +0.0307   354   510  -5.8307  5.519e-09     1
M0SE 2022-05-26 2022-09-20  +0.2015  +0.3311  +0.0320  +0.0181   318  1058  -3.5225  4.276e-04     1
MAC1 2009-03-26 2009-04-19  +0.7960  +0.7841  +0.0127  +0.0146  1209   900  +0.6172  5.371e-01     0
MAD2 1997-10-31 1998-03-12       NA  +0.4739       NA  +0.0268    NA   573       NA         NA    NA
MAD2 2000-11-07 2001-01-26  -0.6579  -0.1581  +0.0368  +0.0201   290   965 -11.9146  9.933e-33     1
MADR 2004-07-23 2023-01-08  +0.1369  +0.2060  +0.0547  +0.0274   123   389  -1.1293  2.588e-01     0
MADR 2024-02-07 2024-02-29  +0.2060  +0.0566  +0.0274  +0.0305   389   348  +3.6413  2.713e-04     1
MADR 2025-02-15 2025-02-25  +0.0566  +0.0542  +0.0305  +0.0341   348   307  +0.0530  9.577e-01     0
MALI 2000-01-29 2000-07-03  -0.0902  -0.1812  +0.0521  +0.0653   697   442  +1.0899  2.758e-01     0
MALI 2002-07-13 2002-07-16  -0.1812  -0.1534  +0.0653  +0.0942   442   204  -0.2425  8.084e-01     0
MALI 2003-03-20 2003-05-14  -0.1534  -0.0383  +0.0942  +0.0625   204   467  -1.0187  3.083e-01     0
MALI 2005-02-27 2005-03-05  -0.0383  -0.2205  +0.0625  +0.0784   467   309  +1.8177  6.911e-02     0
MALI 2006-02-05 2006-02-24  -0.2205  -0.5464  +0.0784  +0.0465   309   886  +3.5757  3.493e-04     1
MATE 1996-04-24 1996-06-23  -0.4509  -0.2946  +0.0285  +0.0153   440  1815  -4.8292  1.371e-06     1
MAUI 2000-07-20 2000-11-16  +0.3087  +0.4841  +0.0170  +0.0256   463   188  -5.7031  1.177e-08     1
MAUI 2001-06-01 2001-06-09  +0.4841  +0.3633  +0.0256  +0.0119   188   946  +4.2780  1.886e-05     1
MAUI 2004-03-22 2004-05-12  +0.3633  +0.4336  +0.0119  +0.0112   946  1092  -4.3043  1.675e-05     1
MAUI 2008-01-07 2008-01-10  +0.4336  +0.3939  +0.0112  +0.0205  1092   323  +1.6956  8.997e-02     0
MAUI 2008-12-26 2009-01-02  +0.3939  +0.4043  +0.0205  +0.0112   323  1057  -0.4413  6.590e-01     0
MAW1 1994-01-16 1995-09-20       NA  +0.5055       NA  +0.0061    NA   972       NA         NA    NA
MCIL 2022-06-20 2022-08-29  -0.7493  -0.4897  +0.0389  +0.0429   483   413  -4.4842  7.320e-06     1
MDVO 1999-02-23 1999-03-22  +0.3883  +0.3125  +0.0143  +0.0156   867   856  +3.5795  3.442e-04     1
MDVO 2001-12-09 2002-02-13  +0.3125  +0.2646  +0.0156  +0.0371   856   193  +1.1885  2.346e-01     0
MDVO 2002-10-16 2003-01-15  +0.2646       NA  +0.0371       NA   193    NA       NA         NA    NA
MEDI 1998-04-23 1998-08-16  +0.6173  +0.4528  +0.0230  +0.0119   704  2688  +6.3469  2.197e-10     1
